km/h,rpm,m
71.50227675,11041.55498,83.72718409
71.05783054,10972.92252,87.27402371
70.61094483,10903.91334,90.82086333
70.16168929,10834.53821,94.36770295
69.71011699,10764.80532,97.91454257
69.25626711,10694.72072,101.4613822
68.80016714,10624.28866,105.0082218
68.34289537,10553.67564,99.64202818
67.88450852,10482.89043,94.27583455
67.42508553,10411.94522,88.90964091
66.96473521,10340.85681,83.54344728
66.50360717,10269.6483,78.17725365
66.04190781,10198.35156,72.81106002
65.57992444,10127.01097,67.44486638
65.11806258,10055.68914,62.07867275
64.65690609,9984.47624,56.71247912
64.19731831,9913.505579,51.34628549
63.73788671,9842.559037,48.45267307
63.27900704,9771.697726,45.55906066
62.82120082,9701.00218,42.66544824
62.36516549,9630.580099,39.77183583
61.91185085,9560.578152,36.87822341
61.46258014,9491.200679,33.984611
61.01925019,9422.740593,31.09099858
60.58468108,9355.633378,28.19738616
60.1632718,9290.558335,25.30377375
59.76235532,9228.647839,22.41016133
59.3664419,9167.509929,21.55300234
58.9765585,9107.303188,20.69584335
58.59397274,9048.223369,19.83868436
58.22027239,8990.515655,18.98152537
57.85748233,8934.492732,18.12436638
57.5082446,8880.562596,17.26720739
57.17611218,8829.273902,16.41004839
56.86606807,8781.396138,15.5528894
56.58555935,8738.079302,14.69573041
56.34700626,8701.241356,13.83857142
56.1152509,8665.453131,13.63488952
55.89117815,8630.851274,13.43120762
55.67585781,8597.600984,13.22752572
55.47061161,8565.906368,13.02384382
55.27712046,8536.026995,12.82016193
55.09761003,12073.13956,12.61648003
54.93521005,12037.55403,12.41279813
54.79478217,12006.78308,12.20911623
54.68555266,11982.84842,12.00543433
54.67016325,11979.47624,11.80175243
54.65477383,11976.10407,12.10291697
54.69747221,11985.46026,12.40408151
54.76127218,11999.44028,12.70524605
54.84010111,12016.71349,13.00641059
54.93073622,12036.57371,13.30757513
55.03108815,12058.5631,13.60873967
55.13966191,12082.35408,13.90990421
55.25532256,12107.69796,14.21106875
55.3771737,8551.47746,14.51223329
55.50448704,8571.137495,14.81339783
55.63665814,8591.547675,16.40953212
55.79236784,8615.592745,18.00566642
55.94806715,8639.63621,19.60180071
56.10375593,8663.67805,21.197935
56.25943407,8687.718246,22.79406929
56.41510143,8711.756777,24.39020358
56.57075789,8735.793624,25.98633787
56.72590899,8759.752434,27.58247216
56.88042187,8783.612688,29.17860645
57.03430243,8807.375297,30.77474074
57.18755648,8831.041159,30.77474074
57.34018975,8854.611158,30.77474074
57.49220786,8878.086164,30.77474074
57.64361637,8901.467033,30.77474074
57.79442075,8924.754611,30.77474074
57.94462638,8947.949729,30.77474074
58.09423857,8971.053206,30.77474074
58.24326254,8994.065849,30.77474074
58.39155933,9016.966199,30.77474074
58.53909683,9039.749297,30.77474074
58.68588258,9062.416308,-442.6531226
58.83192401,9084.96838,-398.759624
58.97722841,9107.406638,-354.8661254
59.12180298,9129.732193,-310.9726267
59.26565478,9151.946137,-267.0791281
59.40879077,9174.049545,-223.1856295
59.55121782,9196.043474,-179.2921309
59.69294265,9217.928968,-135.3986322
59.83397193,9239.70705,-91.50513362
59.97431217,9261.378731,-47.61163499
60.11396983,9282.945005,-46.72816168
60.25295125,9304.406853,-45.84468837
60.39126267,9325.765238,-44.96121505
60.52894563,9347.026574,-44.07774174
60.66601281,9368.192822,-43.19426843
60.80246962,9389.264812,-42.31079512
60.93832136,9410.243367,-41.4273218
61.07357328,9431.129296,-40.54384849
61.20823054,9451.923398,-39.66037518
61.34229825,9472.626459,-38.77690187
61.47578143,9493.239255,-38.5583362
61.60868503,9513.762551,-38.33977053
61.74101394,9534.197103,-38.12120486
61.87277298,9554.543653,-37.90263919
62.00391925,9574.795578,-37.68407352
62.13441407,9594.946904,-37.46550785
62.26426327,9614.998532,-37.24694219
62.39347262,9634.951354,-37.02837652
62.5220478,9654.806245,-36.80981085
62.64999441,9674.564071,-36.59124518
62.77731797,9694.225683,-35.70936928
62.90402392,9713.791923,-34.82749339
63.03011762,9733.263619,-33.94561749
63.155629,9752.645391,-33.06374159
63.28065019,9771.951465,-32.1818657
63.40518491,9791.18242,-31.2999898
63.52923688,9810.338825,-30.4181139
63.65280973,9829.421245,-29.536238
63.77590707,9848.430234,-28.65436211
63.89853246,9867.366344,-27.77248621
64.0206894,9886.230115,-26.939403
64.14238138,9905.022086,-26.1063198
64.26361182,9923.742785,-25.27323659
64.38438412,9942.392735,-24.44015338
64.50470161,9960.972454,-23.60707017
64.62456761,9979.482453,-22.77398697
64.74398539,9997.923236,-21.94090376
64.86295817,10016.2953,-21.10782055
64.98148916,10034.59914,-20.27473735
65.09958299,10052.83548,-19.44165414
65.21565841,10070.76013,-19.08427168
65.32563727,10087.74333,-18.72688922
65.42891214,10103.69129,-18.36950676
65.52474645,10118.49025,-18.0121243
65.61222302,10131.9986,-17.65474184
65.58165023,10127.27747,-17.29735938
65.41211465,10101.09738,-16.93997692
65.26639253,10078.59461,-16.58259446
65.15420961,10061.27105,-16.225212
65.13710219,10058.62929,-15.86782954
65.11999477,10055.98752,-15.87212618
65.11150661,10054.67675,-15.87642283
65.1056044,10053.76532,-15.88071948
65.10153112,10053.13631,-15.88501612
65.09889119,10052.72865,-15.88931277
65.0974322,10052.50335,-15.89360942
65.09697589,10052.43288,-15.89790606
65.09738827,10052.49657,-15.90220271
65.09856435,10052.67818,-15.90649936
65.10041921,10052.96461,-15.910796
65.10288266,10053.34502,-16.36878361
65.1430127,10059.542,-16.82677123
65.20233308,10068.7024,-17.28475884
65.27553637,10080.00663,-17.74274645
65.35970995,10093.00492,-18.20073406
65.45293802,10107.40142,-18.65872167
65.55383935,10122.98285,-19.11670928
65.66136097,10139.5866,-19.57469689
65.77466934,10157.08395,-20.03268451
65.88988491,10174.87582,-20.49067212
66.0046878,10192.60396,-35.36039637
66.11908084,10210.26881,-50.23012063
66.23306683,10227.8708,-65.09984489
66.34664852,10245.41036,-79.96956914
66.45982865,10262.88791,-94.8392934
66.57260992,10280.30387,-109.7090177
66.684995,10297.65865,-124.5787419
66.62314612,10288.10779,-139.4484662
66.15298114,10215.50378,-154.3181904
65.68035165,10142.51918,-169.1879147
65.20563753,10069.21268,-169.1879147
64.72878926,9995.576613,-169.1879147
64.24975561,9921.603074,-169.1879147
63.76848357,9847.28388,-169.1879147
63.28491831,9772.61056,-169.1879147
62.79900302,9697.574342,-169.1879147
62.31067886,9622.166141,-169.1879147
61.81988483,9546.376537,-169.1879147
61.32655768,9470.195762,-169.1879147
60.83063178,9393.613682,-169.1879147
60.34393117,9318.456192,59.61041917
59.85620747,9243.140717,55.78823545
59.36775343,9167.712459,51.96605173
58.87897832,9092.234621,48.14386802
58.39046228,9016.796789,44.3216843
57.90304402,8941.528479,40.49950058
57.4179691,8866.622034,36.67731686
56.93715508,8792.373568,32.85513314
56.46370035,8719.26154,29.03294943
56.00295661,8648.112374,25.21076571
55.54380407,8577.208925,24.14760168
55.08684707,12070.78115,23.08443766
54.63283548,11971.29688,22.02127363
54.1827092,11872.66397,20.95810961
53.73766071,11775.14373,19.89494559
53.29922546,11679.07259,18.83178156
52.86941659,11584.89169,17.76861754
52.45093427,11493.1927,16.70545351
52.04750812,11404.79285,15.64228949
51.66449835,11320.8667,14.57912547
51.28735532,11238.22608,14.1389951
50.91717249,11157.11061,13.69886473
50.55528072,11077.81189,13.25873436
50.20332324,11000.69,12.81860399
49.86336588,10926.19761,12.37847362
49.53806728,10854.91729,11.93834325
49.23095936,10787.62296,11.49821288
48.94695282,10725.39066,11.05808251
48.69338046,10669.82719,10.61795214
48.48270128,10623.66259,10.17782177
48.27708747,10578.60793,10.06220136
48.07729796,10534.8295,9.946580944
47.88425835,10492.53013,9.83096053
47.69912229,10451.96261,9.715340116
47.52336988,10413.45126,9.599719702
47.35897802,10377.42927,9.484099288
47.20875011,10344.51092,9.368478874
47.07707358,10315.65759,9.25285846
46.97230863,10292.70121,9.137238046
46.95802516,10289.57138,9.021617632
46.9437417,10286.44154,9.264866728
46.99651633,10298.00567,9.508115825
47.07301464,10314.76819,9.751364921
47.16624657,10335.19742,9.994614018
47.27250615,10358.48131,10.23786311
47.38939585,10384.0945,10.48111221
47.51520479,10411.66211,10.72436131
47.64863811,10440.90038,10.9676104
47.78867643,10471.58596,11.2108595
47.93449438,10503.53799,11.4541086
48.08540936,10536.6069,14.35688
48.2870441,10580.78965,17.25965141
48.51088889,10629.83914,20.16242282
48.74562042,10681.27416,23.06519423
48.97911966,10732.43915,25.96796564
49.21140432,10783.338,28.87073704
49.44214162,10833.89779,31.77350845
49.66930124,10883.67363,34.67627986
49.89297067,10932.68469,37.57905127
50.11323415,10980.94943,40.48182268
50.33017282,11028.48563,40.48182268
50.54415589,11075.37419,40.48182268
50.75525454,11121.6307,40.48182268
50.96353109,11167.26883,40.48182268
51.16904581,11212.30178,40.48182268
51.371857,11256.74232,40.48182268
51.57207277,11300.61415,40.48182268
51.7697945,11343.93948,40.48182268
51.96507186,11386.72919,40.48182268
52.15795302,11428.99384,40.48182268
52.34848467,11470.74366,-163.0546444
52.53671212,11511.98858,-148.340908
52.72265673,11552.73327,-133.6271716
52.90630751,11592.97533,-118.9134352
53.08770829,11632.72437,-104.1996989
53.26690167,11671.98972,-89.4859625
53.443929,11710.78043,-74.77222613
53.61883046,11749.10532,-60.05848976
53.79172454,11786.99034,-45.34475339
53.96289795,11824.49833,-30.63101702
54.13237846,11861.63536,-29.22986283
54.30019311,11898.40737,-27.82870864
54.46636831,11934.82014,-26.42755445
54.63092979,11970.8793,-25.02640026
54.7939027,12006.59037,-23.62524608
54.95586478,12042.07995,-22.22409189
55.11727912,12077.4495,-20.8229377
55.27815058,8536.186069,-19.42178351
55.4338837,8560.234756,-18.02062932
55.58960674,8584.281884,-16.61947513
55.74531955,8608.327434,-16.49858551
55.90102201,8632.371386,-16.37769588
56.05465661,8656.096013,-16.25680625
56.20526118,8679.352736,-16.13591662
56.35275715,8702.129421,-16.015027
56.49706047,8724.413091,-15.89413737
56.63808108,8746.189835,-15.77324774
56.77572224,8767.444716,-15.65235811
56.73531574,8761.205046,-15.53146849
56.42123841,8712.704464,-15.41057886
56.1064598,8664.095588,-15.25073341
55.79097672,8615.377925,-15.09088796
55.47478651,8566.551066,-14.93104252
55.15788714,12086.34764,-14.77119707
54.84027724,12016.75209,-14.61135163
54.52195621,11947.00071,-14.45150618
54.20292427,11877.09356,-14.29166073
53.88318257,11807.03088,-14.13181529
53.56273329,11736.81315,-13.97196984
53.24157977,11666.44111,-13.81212439
52.92763894,11597.64953,-13.48632055
52.6220391,11530.68566,-13.16051671
52.32614999,11465.84962,-12.83471287
52.0416649,11403.51247,-12.50890903
51.77072724,11344.14387,-12.18310519
51.51613899,11288.35779,-11.85730135
51.2817368,11236.99494,-11.53149751
51.07316905,11191.293,-11.20569367
50.8999092,11153.32783,-10.87988983
50.78382817,11127.89183,-10.55408599
50.66984936,11102.91648,-10.50411111
50.55833586,11078.48134,-10.45413622
50.44973636,11054.68472,-10.40416134
50.34461753,11031.65079,-10.35418646
50.24371574,11009.54091,-10.30421158
50.14802689,10988.57331,-10.25423669
50.0589798,10969.06107,-10.20426181
49.97883208,10951.49888,-10.15428693
49.91189673,10936.83182,-10.10431205
49.89721266,10933.61421,-10.05433716
49.88252859,10930.3966,-10.12952713
49.90282209,10934.84336,-10.2047171
49.93537123,10941.97562,-10.27990707
49.97681153,10951.05613,-10.35509704
