km/h,rpm,m
65.02424416,10041.20148,0
64.18653969,9911.841119,0
62.96919026,9723.855069,0
61.73675336,9533.539173,0
60.48821542,9340.736917,0
59.22246255,9145.276289,0
57.93826602,8946.967546,0
56.63426494,8745.600537,0
55.30894548,8540.941492,0
53.9606156,11823.99822,0
52.58737425,11523.0898,0
51.18707331,11216.25202,0
49.75727015,10902.94962,0
48.29516777,10582.56973,-9.487
48.2590125,10574.64729,-9.487
48.25974564,10574.80794,-9.487
48.26010263,10574.88617,-9.487
48.26027505,10574.92395,-9.487
48.26035799,10574.94212,-9.487
48.26039781,10574.95085,-9.487
48.26041691,10574.95503,-9.487
48.26042607,10574.95704,-9.487
48.26043046,10574.958,-9.487
48.26043256,10574.95846,-9.487
48.26043357,10574.95868,-9.487
48.23573864,10569.54746,-9.487
47.98258517,10514.07578,-9.487
47.62931333,10436.66588,-9.487
47.18250402,10338.7598,-9.487
46.64513012,10221.00896,-9.487
46.01856564,10083.71443,-9.487
45.30322423,9926.966854,-9.487
44.49880447,9750.700187,-9.487
43.60437518,9554.710385,-9.487
42.61837456,9338.655223,-9.487
41.53854748,9102.040549,-9.487
40.36182418,8844.193711,-9.487
39.08413032,8564.221923,-9.487
37.70010459,8260.950407,-9.487
36.20268116,7932.830875,-9.487
34.58246115,7577.803818,-9.487
32.82673677,7193.084672,-9.487
30.91790835,6774.816949,-9.487
28.83076277,6317.47588,-9.487
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,3.623
28.79853472,6310.413982,3.623
28.76630668,6303.352084,-4.356
29.35575478,6432.51357,-4.356
29.87645648,6546.611157,-4.356
30.33003275,6646.000034,-4.356
30.71778729,6730.965874,-4.356
31.04077108,6801.738969,-4.356
31.29983369,6858.505479,-4.356
31.49566846,6901.417331,-4.356
31.62886418,6930.603542,-4.356
31.70001128,6946.193489,-4.356
31.71030605,6948.449309,-4.356
31.70102404,6946.415409,-4.356
31.70980858,6948.340301,-4.356
31.70183744,6946.593643,-4.356
31.70936762,6948.243676,-4.356
31.70250201,6946.739267,-4.356
31.70897725,6948.158137,-4.356
31.70305171,6946.859717,-4.356
31.70863218,6948.082525,-4.356
31.70351054,6946.960259,-4.356
31.70832764,6948.015793,22.55718379
32.67672621,7160.213947,22.52436758
33.61599648,7366.029427,22.49155136
34.52845973,7565.970879,22.45873515
35.41423318,7760.063989,22.42591894
36.26195073,7945.818185,22.39310273
37.08893875,8127.030071,22.36028651
37.90904565,8306.734146,22.3274703
38.71377943,8483.069621,22.29465409
39.50053386,8655.465411,22.26183788
40.27026419,8824.130834,22.22902167
41.02382851,8989.253916,22.19620545
41.76200058,9151.004206,22.16338924
42.48548052,9309.535117,22.13057303
43.19490385,9464.985904,22.09775682
43.89084913,9617.483345,22.0649406
44.57384451,9767.143168,22.03212439
45.24437329,9914.071274,21.99930818
45.90287873,10058.36479,21.96649197
46.54524555,10199.12197,21.93367576
47.17165291,10336.38208,21.90085954
47.78306509,10470.35639,21.86804333
48.38207594,10601.61329,21.83522712
48.97060753,10730.57395,21.80241091
49.55142938,10857.84523,21.76959469
50.11512071,10981.36282,21.73677848
50.65739652,11100.18778,21.70396227
51.18135127,11214.99819,21.67114606
51.68797625,11326.01124,21.63832985
52.17869282,11433.5384,21.60551363
52.65439289,11537.77511,21.57269742
53.11562048,11638.84057,21.53988121
53.56275808,11736.81858,21.507065
53.99646364,11831.85334,21.47424878
54.41933806,11924.51474,21.44143257
54.8318811,12014.9123,21.40861636
55.23646452,12103.56573,21.37580015
55.63764579,8591.700191,21.34298393
56.02691988,8651.81284,21.31016772
56.4161284,8711.915364,21.27735151
56.80526936,8772.007455,21.2445353
57.19073862,8831.532553,21.21171909
57.57228964,8890.452586,21.17890287
57.95001115,8948.781258,21.14608666
58.32398857,9006.531758,21.11327045
58.69369608,9063.622889,21.08045424
59.05870085,9119.98781,21.04763802
59.41911797,9175.644296,21.01482181
59.77505802,9230.609421,20.9820056
60.12662728,9284.899599,20.94918939
60.47392797,9338.530613,20.91637318
60.81721028,9391.541101,20.88355696
61.15667662,9443.962316,20.85074075
61.49240945,9495.806993,20.81792454
61.82448837,9547.087427,20.78510833
