km/h,rpm,m
55.28786761,8537.686597,-13.27058561
55.38089689,8552.052403,-13.44530371
55.47871616,8567.157892,-13.6200218
55.5808685,8582.932504,-13.86779544
55.68914632,8599.653028,-14.11556907
55.80285674,8617.212467,-14.36334271
55.9214257,8635.522174,-14.61111634
56.04436886,8654.507354,-14.85888997
56.17127168,8674.103995,-15.10666361
56.3017752,8694.256665,-15.35443724
56.43556556,8714.916897,-15.60221087
56.57236609,8736.041966,-15.84998451
56.71193118,8757.593946,-16.09775814
56.85404149,8779.538965,-16.44855853
56.99997335,8802.074117,-16.79935891
57.14934632,8825.140652,-17.1501593
57.30182915,8848.687422,-17.50095968
57.45400158,8872.186257,-17.85176007
57.60556301,8895.590741,-18.20256045
57.75651895,8918.901722,-18.55336084
57.90687478,8942.120035,-18.90416123
58.05663585,8965.246502,-19.25496161
58.20580739,8988.281934,-19.605762
58.35429654,9011.211988,-20.11703955
58.50202447,9034.024494,-20.62831711
58.64899878,9056.720622,-21.13959466
58.7952269,9079.301524,-21.65087221
58.94071617,9101.76833,-22.16214977
59.08547381,9124.122155,-22.67342732
59.22950691,9146.364096,-23.18470488
59.37282247,9168.495232,-23.69598243
59.51542735,9190.516624,-24.20725998
59.65732835,9212.42932,-24.71853754
59.79853211,9234.234347,-25.51612961
59.93904521,9255.932721,-26.31372168
60.07887412,9277.52544,-27.11131376
60.21802519,9299.013486,-27.90890583
60.3565047,9320.397828,-28.7064979
60.49434354,9341.683235,-29.50408998
60.63156523,9362.873341,-30.30168205
60.76817518,9383.968982,-31.09927412
60.90417875,9404.970982,-31.8968662
61.03958117,9425.880153,-32.69445827
61.17438766,9446.697297,-34.09825317
61.3086033,9467.423203,-35.50204808
61.44223316,9488.05865,-36.90584298
61.5752822,9508.604406,-38.30963788
61.70775533,9529.061227,-39.71343279
61.83965738,9549.429861,-41.11722769
61.97096857,9569.707253,-42.5210226
62.10162681,9589.883816,-43.9248175
62.23163798,9609.960456,-45.3286124
62.36100786,9629.938066,-46.73240731
62.48974214,9649.817527,-49.94808372
62.61784645,9669.599705,-53.16376013
62.74532633,9689.285457,-56.37943654
62.87218724,9708.875626,-59.59511295
62.99843456,9728.371043,-62.81078936
63.1240736,9747.772529,-66.02646577
63.24921785,9767.097608,-69.24214218
63.37387471,9786.347423,-72.45781859
63.49804789,9805.522545,-75.673495
63.62174103,9824.62354,-78.88917141
63.74495776,9843.650966,-94.28831105
63.86770164,9862.605374,-109.6874507
63.9899762,9881.487309,-125.0865903
64.11178493,9900.297308,-140.48573
64.23313126,9919.035902,-155.8848696
64.35401859,9937.703617,-171.2840093
64.47445028,9956.300971,-186.6831489
64.59442965,9974.828476,-202.0822885
64.71395998,9993.286639,-217.4814282
64.8330445,10011.67596,-232.8805678
64.95168643,10029.99693,-232.8805678
65.06988969,10048.25017,-232.8805678
65.18765947,10066.43646,-232.8805678
65.30499882,10084.55629,-232.8805678
65.42191077,10102.61012,-232.8805678
65.53839831,10120.59841,-232.8805678
65.6544644,10138.52161,-232.8805678
65.77011195,10156.38019,-232.8805678
65.88534387,10174.17458,-232.8805678
66.000163,10191.90523,-232.8805678
66.11457217,10209.57257,232.5910361
66.22857418,10227.17704,215.6709907
66.34217178,10244.71905,198.7509454
66.45536771,10262.19904,181.8309
66.56816468,10279.61743,164.9108547
66.68056535,10296.97461,147.9908093
66.79257236,10314.271,131.070764
66.90418834,10331.50701,114.1507187
67.01543256,10348.68562,97.23067332
67.12634278,10365.81264,80.31062798
67.23692103,10382.8884,76.97967736
67.34716931,10399.91321,73.64872674
67.4570896,10416.88737,70.31777612
67.56668388,10433.81118,66.9868255
67.67595408,10450.68495,63.65587488
67.78490213,10467.50897,60.32492426
67.89352995,10484.28355,56.99397364
68.00183941,10501.00896,53.66302302
